id,first_name,last_name,email,phone,country,state,city,region,birthday,gender,segment,labels,channel,meta,created_at
CUST001,First001,Last001,cust001@example.com,555-0001,US,State001,City001,Region001,2025-05-01,male,Regular,newsletter,web,"{""source"":""demo""}","2025-01-10 09:00:00"
CUST002,First002,Last002,cust002@example.com,555-0002,CA,State002,City002,Region002,2025-05-02,female,VIP,"newsletter,loyalty",mobile,"{""source"":""demo""}","2025-01-11 09:00:00"
CUST003,First003,Last003,cust003@example.com,555-0003,UK,State003,City003,Region003,2025-05-03,other,New,newsletter,retail,"{""source"":""demo""}","2025-01-12 09:00:00"
CUST004,First004,Last004,cust004@example.com,555-0004,DE,State004,City004,Region004,2025-05-04,male,Regular,"newsletter,loyalty",web,"{""source"":""demo""}","2025-01-13 09:00:00"
CUST005,First005,Last005,cust005@example.com,555-0005,FR,State005,City005,Region005,2025-05-05,female,VIP,newsletter,mobile,"{""source"":""demo""}","2025-01-14 09:00:00"
CUST006,First006,Last006,cust006@example.com,555-0006,AU,State006,City006,Region006,2025-05-06,other,New,"newsletter,loyalty",retail,"{""source"":""demo""}","2025-01-15 09:00:00"
CUST007,First007,Last007,cust007@example.com,555-0007,BR,State007,City007,Region007,2025-05-07,male,Regular,newsletter,web,"{""source"":""demo""}","2025-01-16 09:00:00"
CUST008,First008,Last008,cust008@example.com,555-0008,IN,State008,City008,Region008,2025-05-08,female,VIP,"newsletter,loyalty",mobile,"{""source"":""demo""}","2025-01-17 09:00:00"
CUST009,First009,Last009,cust009@example.com,555-0009,JP,State009,City009,Region009,2025-05-09,other,New,newsletter,retail,"{""source"":""demo""}","2025-01-18 09:00:00"
CUST010,First010,Last010,cust010@example.com,555-0010,ZA,State010,City010,Region010,2025-05-10,male,Regular,"newsletter,loyalty",web,"{""source"":""demo""}","2025-01-19 09:00:00"
CUST011,First011,Last011,cust011@example.com,555-0011,US,State011,City011,Region011,2025-05-11,female,VIP,newsletter,mobile,"{""source"":""demo""}","2025-02-10 09:00:00"
CUST012,First012,Last012,cust012@example.com,555-0012,CA,State012,City012,Region012,2025-05-12,other,New,"newsletter,loyalty",retail,"{""source"":""demo""}","2025-02-11 09:00:00"
CUST013,First013,Last013,cust013@example.com,555-0013,UK,State013,City013,Region013,2025-05-13,male,Regular,newsletter,web,"{""source"":""demo""}","2025-02-12 09:00:00"
CUST014,First014,Last014,cust014@example.com,555-0014,DE,State014,City014,Region014,2025-05-14,female,VIP,"newsletter,loyalty",mobile,"{""source"":""demo""}","2025-02-13 09:00:00"
CUST015,First015,Last015,cust015@example.com,555-0015,FR,State015,City015,Region015,2025-05-15,other,New,newsletter,retail,"{""source"":""demo""}","2025-02-14 09:00:00"
CUST016,First016,Last016,cust016@example.com,555-0016,AU,State016,City016,Region016,2025-05-16,male,Regular,"newsletter,loyalty",web,"{""source"":""demo""}","2025-02-15 09:00:00"
CUST017,First017,Last017,cust017@example.com,555-0017,BR,State017,City017,Region017,2025-05-17,female,VIP,newsletter,mobile,"{""source"":""demo""}","2025-02-16 09:00:00"
CUST018,First018,Last018,cust018@example.com,555-0018,IN,State018,City018,Region018,2025-05-18,other,New,"newsletter,loyalty",retail,"{""source"":""demo""}","2025-02-17 09:00:00"
CUST019,First019,Last019,cust019@example.com,555-0019,JP,State019,City019,Region019,2025-05-19,male,Regular,newsletter,web,"{""source"":""demo""}","2025-02-18 09:00:00"
CUST020,First020,Last020,cust020@example.com,555-0020,ZA,State020,City020,Region020,2025-05-20,female,VIP,"newsletter,loyalty",mobile,"{""source"":""demo""}","2025-02-19 09:00:00"
CUST021,First021,Last021,cust021@example.com,555-0021,US,State021,City021,Region021,2025-05-21,other,New,newsletter,retail,"{""source"":""demo""}","2025-02-20 09:00:00"
CUST022,First022,Last022,cust022@example.com,555-0022,CA,State022,City022,Region022,2025-05-22,male,Regular,"newsletter,loyalty",web,"{""source"":""demo""}","2025-02-21 09:00:00"
CUST023,First023,Last023,cust023@example.com,555-0023,UK,State023,City023,Region023,2025-05-23,female,VIP,newsletter,mobile,"{""source"":""demo""}","2025-02-22 09:00:00"
